id;id_regional;id_comuna;region;comuna;costo_bajo_gn;costo_alto_gn;costo_bajo_glp;costo_alto_glp;costo_bajo_ele;costo_alto_ele;costo_bajo_ker;costo_alto_ker;costo_bajo_len;costo_alto_len;costo_bajo_pel;costo_alto_pel
128;;13130;Metropolitana de Santiago;San Miguel;88.33915098;135.7544741;161.3394216;161.3394216;;;71.38461538;73.74358974;;;;
129;;13131;Metropolitana de Santiago;San Ramón;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.30769231;;;;
130;;13132;Metropolitana de Santiago;Vitacura;88.33915098;135.7544741;164.3835616;164.3835616;;;72;72.1025641;;;;
131;;13201;Metropolitana de Santiago;Puente Alto;88.33915098;135.7544741;161.3394216;161.3394216;;;72.1025641;72.30769231;;;;
132;;13202;Metropolitana de Santiago;Pirque;88.33915098;135.7544741;182.6484018;182.6484018;;;71.79487179;71.79487179;;;;
133;;13203;Metropolitana de Santiago;San José de Maipo;88.33915098;135.7544741;190.2587519;190.2587519;;;72.1025641;72.1025641;;;;
134;;13301;Metropolitana de Santiago;Colina;88.33915098;135.7544741;193.3028919;193.3028919;;;71.79487179;72.20512821;;;;
135;;13302;Metropolitana de Santiago;Lampa;88.33915098;135.7544741;175.0380518;175.0380518;;;72.20512821;72.41025641;;;;
136;;13303;Metropolitana de Santiago;Tiltil;88.33915098;135.7544741;192.5418569;192.5418569;;;71.48717949;71.48717949;;;;
137;;13401;Metropolitana de Santiago;San Bernardo;88.33915098;135.7544741;161.3394216;161.3394216;;;69.74358974;72.1025641;;;;
138;;13402;Metropolitana de Santiago;Buin;88.33915098;135.7544741;161.3394216;161.3394216;;;69.94871795;69.94871795;;;;
139;;13403;Metropolitana de Santiago;Calera de Tango;88.33915098;135.7544741;161.3394216;161.3394216;;;72.20512821;72.20512821;;;;
140;;13404;Metropolitana de Santiago;Paine;88.33915098;135.7544741;161.3394216;161.3394216;;;66.15384615;72.71794872;;;;
141;;13501;Metropolitana de Santiago;Melipilla;88.33915098;135.7544741;181.1263318;181.1263318;;;71.58974359;71.69230769;;;;
142;;13502;Metropolitana de Santiago;Alhué;88.33915098;135.7544741;181.1263318;181.1263318;;;68.71794872;72.30769231;;;;
143;;13503;Metropolitana de Santiago;Curacaví;88.33915098;135.7544741;184.1704718;184.1704718;;;76.30769231;76.30769231;;;;
144;;13504;Metropolitana de Santiago;María Pinto;88.33915098;135.7544741;182.6484018;182.6484018;;;71.58974359;71.58974359;;;;
145;;13505;Metropolitana de Santiago;San Pedro;88.33915098;135.7544741;182.6484018;182.6484018;;;68.71794872;72.30769231;;;;
146;;13601;Metropolitana de Santiago;Talagante;88.33915098;135.7544741;161.3394216;161.3394216;;;71.79487179;72.20512821;;;;
147;;13602;Metropolitana de Santiago;El Monte;88.33915098;135.7544741;161.3394216;161.3394216;;;69.43589744;71.8974359;;;;
148;;13603;Metropolitana de Santiago;Isla de Maipo;88.33915098;135.7544741;161.3394216;161.3394216;;;72.71794872;76.92307692;;;;
149;;13604;Metropolitana de Santiago;Padre Hurtado;88.33915098;135.7544741;161.3394216;161.3394216;;;71.17948718;71.17948718;;;;
150;;13605;Metropolitana de Santiago;Peñaflor;88.33915098;135.7544741;144.5966514;161.3394216;;;71.17948718;72.20512821;;;;
151;;6101;Del Libertador B. O'Higgins;Rancagua;;;174.8858447;174.8858447;;;70.76923077;73.64102564;;;;
152;;6102;Del Libertador B. O'Higgins;Codegua;;;183.4094368;183.4094368;;;71.8974359;71.8974359;;;;
153;;6103;Del Libertador B. O'Higgins;Coinco;;;146.8797565;184.5509893;;;70.76923077;73.64102564;;;;
154;;6104;Del Libertador B. O'Higgins;Coltauco;;;146.8797565;184.5509893;;;73.64102564;73.64102564;;;;
155;;6105;Del Libertador B. O'Higgins;Doñihue;;;183.4094368;183.4094368;;;73.64102564;73.64102564;;;;
156;;6106;Del Libertador B. O'Higgins;Graneros;;;183.4094368;183.4094368;;;73.23076923;73.43589744;;;;
157;;6107;Del Libertador B. O'Higgins;Las Cabras;;;130.7596513;195.9665145;;;75.38461538;75.38461538;;;;
158;;6108;Del Libertador B. O'Higgins;Machalí;;;146.8797565;182.6484018;;;73.43589744;73.43589744;;;;
159;;6109;Del Libertador B. O'Higgins;Malloa;;;183.4094368;183.4094368;;;73.23076923;73.23076923;;;;
160;;6110;Del Libertador B. O'Higgins;Mostazal;;;183.4094368;183.4094368;;;73.43589744;73.43589744;;;;
161;;6111;Del Libertador B. O'Higgins;Olivar;;;183.4094368;183.4094368;;;73.23076923;73.43589744;;;;
162;;6112;Del Libertador B. O'Higgins;Peumo;;;161.3394216;161.3394216;;;74.15384615;74.15384615;;;;
163;;6113;Del Libertador B. O'Higgins;Pichidegua;;;164.3835616;164.3835616;;;74.25641026;74.25641026;;;;
164;;6114;Del Libertador B. O'Higgins;Quinta de Tilcoco;;;146.8797565;184.5509893;;;73.33333333;74.25641026;;;;
165;;6115;Del Libertador B. O'Higgins;Rengo;;;182.6484018;182.6484018;;;72.20512821;72.20512821;;;;
166;;6116;Del Libertador B. O'Higgins;Requínoa;;;183.4094368;183.4094368;;;72.82051282;73.43589744;;;;
167;;6117;Del Libertador B. O'Higgins;San Vicente;;;146.8797565;184.5509893;;;73.43589744;73.43589744;;;;
168;;6201;Del Libertador B. O'Higgins;Pichilemu;;;170.4718417;170.4718417;;;74.87179487;74.87179487;;;;
169;;6202;Del Libertador B. O'Higgins;La Estrella;;;156.7732116;156.7732116;;;70.76923077;73.64102564;;;;
170;;6203;Del Libertador B. O'Higgins;Litueche;;;146.8797565;184.5509893;;;70.76923077;73.64102564;;;;
171;;6204;Del Libertador B. O'Higgins;Marchihue;;;156.7732116;156.7732116;;;71.79487179;71.79487179;;;;
172;;6205;Del Libertador B. O'Higgins;Navidad;;;170.4718417;170.4718417;;;70.76923077;73.64102564;;;;
173;;6206;Del Libertador B. O'Higgins;Paredones;;;170.4718417;170.4718417;;;70.76923077;73.64102564;;;;
174;;6301;Del Libertador B. O'Higgins;San Fernando;;;177.9299848;177.9299848;;;72.61538462;72.61538462;;;;
175;;6302;Del Libertador B. O'Higgins;Chépica;;;185.6925419;185.6925419;;;73.74358974;73.74358974;;;;
176;;6303;Del Libertador B. O'Higgins;Chimbarongo;;;185.6925419;185.6925419;;;72.61538462;72.61538462;;;;
177;;6304;Del Libertador B. O'Higgins;Lolol;;;170.4718417;170.4718417;;;74.76923077;74.76923077;;;;
178;;6305;Del Libertador B. O'Higgins;Nancagua;;;185.6925419;185.6925419;;;74.66666667;74.66666667;;;;
179;;6306;Del Libertador B. O'Higgins;Palmilla;;;185.6925419;185.6925419;;;70.76923077;73.64102564;;;;
180;;6307;Del Libertador B. O'Higgins;Peralillo;;;146.8797565;184.5509893;;;71.69230769;71.69230769;;;;
181;;6308;Del Libertador B. O'Higgins;Placilla;;;161.3394216;161.3394216;;;71.79487179;71.79487179;;;;
182;;6309;Del Libertador B. O'Higgins;Pumanque;;;170.4718417;170.4718417;;;70.76923077;73.64102564;;;;
183;;6310;Del Libertador B. O'Higgins;Santa Cruz;;;157.5342466;157.5342466;;;74.46153846;74.56410256;;;;
184;;7101;Del Maule;Talca;;;146.1187215;153.7290715;;;69.74358974;74.35897436;;;;
185;;7102;Del Maule;Constitución;;;165.9056317;165.9056317;;;73.84615385;73.84615385;;;;
